AD_ID;EVENT_DATE;DELIVERIES;IMPRESSIONS;CLICKS;SPEND
415050;01.11.18;0;1;0;0
445347;23.11.18;116;25;0;0
425498;01.11.18;208;62;0;0
417943;06.11.18;713;168;0;0
140447;06.11.18;30;11;0;0
446094;19.11.18;37042;1528;0;0
440554;20.11.18;1427;304;3;5
440554;24.11.18;2537;486;2;18
427747;22.11.18;14006;1459;9;54
427747;01.11.18;754;166;0;0
443025;22.11.18;3829;892;0;0
429153;10.11.18;562;168;0;0
401033;03.11.18;2232;59;0;0
155408;15.11.18;33;11;0;0
442486;21.11.18;456;59;0;0
435393;06.11.18;17908;1327;6;18
155408;12.11.18;0;1;0;0
427747;15.11.18;13552;2418;6;52
155408;05.11.18;187;60;0;0
440554;17.11.18;1626;254;2;18
439276;25.11.18;1410;423;0;2
436213;15.11.18;725;168;0;0
417943;01.11.18;846;166;0;0
440554;21.11.18;8721;2626;1;60
445347;12.11.18;9;5;0;0
433391;05.11.18;38;11;0;0
155408;11.11.18;24;11;0;0
417943;09.11.18;932;162;0;0
432689;09.11.18;34;11;0;0
446766;22.11.18;181;25;0;0
